timestamp,account_number,type,amount,status
2026-08-29T15:04:06,3135560276,Deposit,5000.0,SUCCESS
2026-08-29T15:07:37,3135560276,Login,0,SUCCESS
2026-08-29T15:07:49,3135560276,Withdrawal,4500.0,SUCCESS
2026-08-29T15:21:11,3035296667,Login,0,SUCCESS
2026-08-29T15:21:23,3035296667,Deposit,45000.0,SUCCESS
2026-08-29T15:21:30,3035296667,Withdrawal,4500.0,SUCCESS
2026-08-29T15:25:17,3135560276,Login,0,SUCCESS
2026-08-29T15:25:59,3135560276,Login,0,SUCCESS
2026-08-29T15:30:09,3135560276,Login,0,SUCCESS
2026-08-29T15:30:16,3135560276,Withdrawal,0,FAILED
2026-08-29T15:31:26,3135560276,Deposit,4500.0,SUCCESS
2026-08-29T15:31:34,3135560276,Withdrawal,150.0,SUCCESS
2026-08-29T15:33:00,3035296667,Login,0,FAILED
2026-08-29T15:33:13,3035296667,Login,0,FAILED
2026-08-29T15:33:22,3035296667,Login,0,FAILED
2026-08-29T15:33:33,3035296667,Login,0,FAILED
2026-08-29T15:33:41,3035296667,Login,0,LOCKED
2026-08-29T15:33:48,3035296667,Login,0,LOCKED
2026-08-29T15:40:34,3135560276,Login,0,FAILED
2026-08-29T15:40:47,3135560276,Login,0,SUCCESS
2026-08-29T15:40:58,3135560276,Withdrawal,0,FAILED
2026-08-29T15:41:11,3135560276,Withdrawal,0,FAILED
2026-08-29T15:41:29,3135560276,Login,0,FAILED
2026-08-29T15:41:45,3135560276,Login,0,FAILED
2026-08-29T15:41:52,3135560276,Login,0,FAILED
2026-08-29T15:41:55,3135560276,Login,0,LOCKED
